ATSC5d,ATSC4i,SlogP_VSA1,GATS2v,VSA_EState6,ATSC5p,ATSC3v,AATSC0are,ATSC5v,FilterItLogS,PEOE_VSA9.1,ATSC4p,ATSC6Z,PEOE_VSA10.1,TpiPC10,HallKierAlpha,ATSC4dv,ATSC3Z,SLogP,ATSC7v,ATSC6are,GATS2p,ATSC4pe,GATS2i,ATSC3d,GATS2pe,IC2,VSA_EState8,MinEStateIndex,ATSC3are,MaxEStateIndex,ATSC2dv,ATSC8Z,SssCH2,ATSC4v,MATS1i,VSA_EState3,MATS2p,PEOE_VSA1.1,SMR_VSA1.1,JGI4,ATSC0pe,MinAbsEStateIndex,ATSC1d,ATSC7pe,qed,ATSC5dv,SMR_VSA1,ATSC6p,SdssC,VSA_EState3.1,MATS2Z,GATS2m,AATS2i,AATSC0Z,MATS2i,ATSC3i,VSA_EState6.1,ATSC7Z,ATSC7d,Target
0.258139046,-36.53025316,65.88585761,1.187431401,4.516746606,1.025685876,-1127.003731,0.161685822,366.7687341,-6.299980554,12.96557803,-0.510088457,100.6072254,48.04239764,8.212178439,-7.62,-138.3976756,-431.7540433,-4.3417,639.6012562,1.196632136,1.254485164,-10.37657316,1.343242423,3.45389624,0.562198998,5.059045492,-0.401630143,-1.771293711,-4.157844234,14.56058937,12.1840183,-20.34635581,-1.826562466,261.261008,0.005288376,27.78350604,-0.14230198,75.89229474,57.84643642,0.040514905,20.54144348,0.012824435,14.1821046,-10.54751853,0.02737586,152.3732176,57.84643642,5.052278179,-9.624372816,27.78350604,-0.021851839,0.924772205,156.4684332,9.888258769,-0.119306096,49.61104309,4.516746606,-278.6093258,-8.558286074,1
-33.83785402,-86.78270115,21.26715442,0.986521708,-12.32715344,9.10318914,-1660.348555,0.124547675,390.582408,-8.345688439,12.64872279,3.37578841,-840.1020408,60.41840829,7.786136438,-6.13,-76.59516868,91.2911287,3.269,2114.739128,-5.978923852,1.052928695,-4.371387193,1.223257056,4.658970221,0.699998366,4.308626689,29.32854506,-1.609939614,8.636023446,15.12954023,238.2153269,-468.2403165,0.417791501,2284.48552,-0.338432083,23.06363415,0.076715966,60.67304993,57.84643642,0.044494382,23.09620612,0.022871036,57.62755102,-6.882047907,0.147924715,-256.5052062,57.84643642,-19.11600265,-7.41864232,23.06363415,0.157263523,0.856902416,161.6634466,7.420449813,0.026596352,-7.533758733,-12.32715344,215.0170762,-29.89423678,1
-1.83,-1.992156489,5.733667477,1.13551788,-0.862685185,-0.314428502,-405.749985,0.18668475,128.1012223,-0.385683717,12.02124807,0.258527592,-22.7,6.041840829,5.600503125,-1.36,-26.63,-56.1,-0.6359,100.5467109,-0.10549,1.26065422,-1.958775,1.361575006,-2.65,0.616766201,4.121928095,0,-1.006481481,-0.268725,10.26253496,-3.78,19.22,0.262731481,-77.60346985,-0.165837308,8.417829743,-0.126906358,15.82417339,9.901064579,0.044375,3.4065,0.262731481,1.8,-0.796975,0.541194499,37.88,9.901064579,-0.855024595,-1.006481481,8.417829743,-0.012896825,0.838954622,161.0472442,8.19,-0.105603233,-5.871365265,-0.862685185,-15.19,2.2275,1
-5.886,17.4214329,11.46733495,1.096419972,-0.907255364,-2.871751583,-905.6852522,0.17960736,257.3041081,-0.158931554,12.58308926,2.239161098,-100.09,47.703468,8.360426071,-1.99,-25.93475556,-72.0268,-1.9222,374.0315542,-0.516268,1.5312847,-1.51247932,1.262952276,-4.5588,0.779879732,5.09366069,0,-1.164938587,2.57094272,10.80922104,86.22194568,49.9168,1.412190832,187.6715563,-0.121993081,29.68141658,-0.121806254,31.52378009,24.85098232,0.041929825,8.211562,0.215933476,12.7488,-3.51317148,0.328860125,-22.384,24.85098232,-4.078840959,-1.034364737,29.68141658,-0.171236814,1.362385128,158.3560677,10.8516,0.033776977,-26.09460153,-0.907255364,-9.2532,0.3588,1
0.5703125,-1.761087169,10.63357721,1.255267761,0.439942392,-0.123881163,-526.1259183,0.1586625,61.80813629,-1.671838054,12.08368166,-0.797420353,-53.9140625,0,5.96100534,-0.91,-15.63194444,-119.0976563,0.7968,136.7557765,-1.1102625,1.333857418,-0.5784,1.305144739,-6.28515625,0.439379439,4.202819531,0,-0.728900594,-1.65815625,11.11231106,22.79774306,23.63671875,3.845615473,-100.7708457,0.009687933,14.77832536,-0.118808314,15.7401046,14.69560176,0.037857143,4.7022,0.064040769,2.44140625,-0.37,0.493478115,-30.52690972,14.69560176,0.025705568,-0.792941363,14.77832536,-0.079452504,1.122882492,154.1103541,12.30859375,-0.064175854,-17.58991792,0.439942392,109.4882813,-0.07421875,1
1.700680272,-3.896016956,0,0.748472836,0,0.997568816,-1217.000251,0.107405896,32.80484949,-1.259423802,27.74989791,0.049137196,29.46938776,6.544756406,3.36729583,-0.08,18.26530612,-158.3061224,-0.3151,0,0.27487551,0.591333462,1.516688435,0.633287292,-2.517006803,1.563790175,2.616878732,1.114583333,0.28125,-0.367840136,8.38625,-21.61678005,0,1.114583333,359.5605862,-0.927685437,8.38625,0.403211707,9.589558253,9.589558253,0,2.157180952,0.28125,0.371882086,0,0.476183931,-19.15646259,9.589558253,0.636450421,0,8.38625,-0.016228973,1.181626523,173.5647484,6.725623583,0.581919344,-17.38314761,0,0,0,1
-4.92,-1.030842086,0,1.096376179,0,-1.375761897,-136.0399845,0.3036,-270.1454613,1.4908722,6.606881965,-0.233734047,-81.28,6.103966388,5.375278408,-1.27,-48.36,44.92,-1.4074,259.8182938,-1.3912,1.43362454,-1.623619,1.486699268,-6.28,0.882856891,4.021928095,-0.683564815,-1.440462963,2.6148,10.85208333,5.32,25.92,-0.683564815,-150.058336,0.116182644,34.76055556,-0.185317539,25.16297253,29.95750972,0.059090909,5.41002,0.683564815,5.2,-0.09063,0.411567841,-26.92,29.95750972,0.048649227,-2.778657407,34.76055556,-0.042884199,0.789969222,155.0962473,9.24,-0.212723312,-5.560018143,0,28.8,3.6,1
-1.444444444,-3.9547813,11.46733495,1.424895142,-0.742083333,-0.297989141,-144.0581593,0.177129705,26.90883062,0.236137283,0,-0.149324456,-18,6.041840829,3.988984047,-0.61,-34.3877551,14.20408163,-0.8628,69.10513549,0.014990476,1.62788704,-1.736326531,1.66455642,-1.777777778,0.556773355,3.535174566,0.500972222,-0.955138889,0.91034195,10.03932634,15.81632653,11.79591837,1.639166667,-114.803064,0.157976568,8.242807067,-0.274585175,16.57386235,9.901064579,0.048,3.435657143,0.46412037,1.555555556,-0.761063265,0.463886112,-4.551020408,9.901064579,0.038845075,-0.955138889,8.242807067,-0.039330256,0.951888776,161.2967927,8.149659864,-0.269856768,-5.88664188,-0.742083333,-17.69387755,1.222222222,1
-0.9975,0.888530513,5.733667477,1.329297617,-0.682916667,-0.607878432,-391.5640299,0.16436475,212.1333476,-0.231530594,0,0.935795462,-32,6.041840829,3.988984047,-0.22,-36.55555556,-66,0.1514,58.61229688,-0.101011,1.671280471,-1.622925,1.5048969,-2.545,0.470748057,3.78418372,0,-0.912916667,0.6449545,10.07088341,31.22222222,27,1.365046296,-59.56300658,0.181697819,8.274364135,-0.296378238,10.84019487,9.901064579,0.048,3.052575,0.552083333,1.9275,-1.15744375,0.596996208,-9.666666667,9.901064579,-1.503559457,-0.912916667,8.274364135,-0.248766447,1.481519621,156.6371743,15.2,-0.266509918,-6.178169951,-0.682916667,-24,1.5925,1
9.090577064,-20.77045406,0,1.114995949,0,-3.113009283,-1572.857963,0.075054785,-712.8363675,-4.59969077,17.80898359,-3.846506861,242.8750913,0,7.636752112,-0.9,-3.61577794,-258.1351351,5.7047,-722.2375777,1.310577064,1.164348033,0.844396311,1.17325725,-18.7027027,0.787452807,4.455744751,12.83621068,-0.615156921,-2.481891892,10.12688634,-13.90357925,53.66983199,10.50638195,-816.0617556,0.108353581,30.19769641,0.038433318,15.31958218,15.31958218,0.043156566,5.576395946,0.374345947,17.2330168,-0.029158711,0.519991905,17.6771366,15.31958218,7.884241556,3.347966301,30.19769641,0.073873241,1.000783199,151.2007822,6.663988313,0.031797663,-26.07417668,0,-57.69612856,-5.051862673,1
